ENSG00000000005	ENSMMUG00000008212
ENSG00000117222	ENSMMUG00000018803
ENSG00000117226	ENSMMUG00000000662
ENSG00000117245	ENSMMUG00000008836
ENSG00000117262	ENSMMUG00000019640
ENSG00000117266	ENSMMUG00000004109
ENSG00000117281	ENSMMUG00000007969
ENSG00000117298	ENSMMUG00000010942
ENSG00000117305	ENSMMUG00000019548
ENSG00000117308	ENSMMUG00000019549
ENSG00000117318	ENSMMUG00000043586
ENSG00000117322	ENSMMUG00000013602
ENSG00000117335	ENSMMUG00000007129
ENSG00000117360	ENSMMUG00000016301
ENSG00000117362	ENSMMUG00000021386
ENSG00000117385	ENSMMUG00000022381
ENSG00000117394	ENSMMUG00000000373
ENSG00000117395	ENSMMUG00000051576
ENSG00000117399	ENSMMUG00000003149
ENSG00000117400	ENSMMUG00000003148
ENSG00000117407	ENSMMUG00000061167
ENSG00000117408	ENSMMUG00000015142
ENSG00000117411	ENSMMUG00000015155
ENSG00000117419	ENSMMUG00000011651
ENSG00000117448	ENSMMUG00000049745
ENSG00000117450	ENSMMUG00000006221
ENSG00000117461	ENSMMUG00000015080
ENSG00000117472	ENSMMUG00000016452
ENSG00000117475	ENSMMUG00000021080
ENSG00000117477	ENSMMUG00000000065
ENSG00000117479	ENSMMUG00000013039
ENSG00000117480	ENSMMUG00000002714
ENSG00000117500	ENSMMUG00000045421
ENSG00000117501	ENSMMUG00000013380
ENSG00000117519	ENSMMUG00000001690
ENSG00000117523	ENSMMUG00000013639
ENSG00000117525	ENSMMUG00000056548
ENSG00000117528	ENSMMUG00000014013
ENSG00000117533	ENSMMUG00000023203
ENSG00000117543	ENSMMUG00000056702
ENSG00000117560	ENSMMUG00000065134
ENSG00000117569	ENSMMUG00000016130
ENSG00000117586	ENSMMUG00000061368
ENSG00000117592	ENSMMUG00000008776
ENSG00000117593	ENSMMUG00000022798
ENSG00000117594	ENSMMUG00000059587
ENSG00000117595	ENSMMUG00000022065
ENSG00000117597	ENSMMUG00000022066
ENSG00000117598	ENSMMUG00000008518
ENSG00000117600	ENSMMUG00000021030
ENSG00000117601	ENSMMUG00000000629
ENSG00000117602	ENSMMUG00000022927
ENSG00000117614	ENSMMUG00000002968
ENSG00000117616	ENSMMUG00000002970
ENSG00000117625	ENSMMUG00000020383
ENSG00000117632	ENSMMUG00000000653
ENSG00000117640	ENSMMUG00000007854
ENSG00000117643	ENSMMUG00000004788
ENSG00000117650	ENSMMUG00000005216
ENSG00000117676	ENSMMUG00000022111
ENSG00000117682	ENSMMUG00000022426
ENSG00000117691	ENSMMUG00000002142
ENSG00000117697	ENSMMUG00000019287
ENSG00000117707	ENSMMUG00000011914
ENSG00000117713	ENSMMUG00000012697
ENSG00000117724	ENSMMUG00000015634
ENSG00000117748	ENSMMUG00000018172
ENSG00000117751	ENSMMUG00000012252
ENSG00000117791	ENSMMUG00000057631
ENSG00000117834	ENSMMUG00000007558
ENSG00000117859	ENSMMUG00000004735
ENSG00000117862	ENSMMUG00000053331
ENSG00000117868	ENSMMUG00000022361
ENSG00000117877	ENSMMUG00000000717
ENSG00000117899	ENSMMUG00000009409
ENSG00000117906	ENSMMUG00000008213
ENSG00000117971	ENSMMUG00000007541
ENSG00000117983	ENSMMUG00000010544
ENSG00000117984	ENSMMUG00000003874
ENSG00000118007	ENSMMUG00000003263
ENSG00000118046	ENSMMUG00000022198
ENSG00000118058	ENSMMUG00000005482
ENSG00000118094	ENSMMUG00000002549
ENSG00000118096	ENSMMUG00000014455
ENSG00000118113	ENSMMUG00000004489
ENSG00000118137	ENSMMUG00000044545
ENSG00000118156	ENSMMUG00000014729
ENSG00000118160	ENSMMUG00000014718
ENSG00000118162	ENSMMUG00000014723
ENSG00000118193	ENSMMUG00000004266
ENSG00000118194	ENSMMUG00000056199
ENSG00000118197	ENSMMUG00000004268
ENSG00000118200	ENSMMUG00000012218
ENSG00000118217	ENSMMUG00000004049
ENSG00000118231	ENSMMUG00000052742
ENSG00000118245	ENSMMUG00000019257
ENSG00000118246	ENSMMUG00000017735
ENSG00000118257	ENSMMUG00000020052
ENSG00000118260	ENSMMUG00000022601
ENSG00000118263	ENSMMUG00000000190
ENSG00000118271	ENSMMUG00000052277
ENSG00000118276	ENSMMUG00000016674
ENSG00000118292	ENSMMUG00000021387
ENSG00000118298	ENSMMUG00000021385
ENSG00000118307	ENSMMUG00000015377
ENSG00000118308	ENSMMUG00000015374
ENSG00000118322	ENSMMUG00000012643
ENSG00000118363	ENSMMUG00000010685
ENSG00000118363	ENSMMUG00000037703
ENSG00000118369	ENSMMUG00000017476
ENSG00000118402	ENSMMUG00000020208
ENSG00000118407	ENSMMUG00000019275
ENSG00000118412	ENSMMUG00000009182
ENSG00000118418	ENSMMUG00000004351
ENSG00000118420	ENSMMUG00000015780
ENSG00000118432	ENSMMUG00000000763
ENSG00000118434	ENSMMUG00000004947
ENSG00000118454	ENSMMUG00000013853
ENSG00000118473	ENSMMUG00000000637
ENSG00000118482	ENSMMUG00000017160
ENSG00000118491	ENSMMUG00000062500
ENSG00000118492	ENSMMUG00000013791
ENSG00000118495	ENSMMUG00000003750
ENSG00000118496	ENSMMUG00000021936
ENSG00000118503	ENSMMUG00000008869
ENSG00000118507	ENSMMUG00000000577
ENSG00000118513	ENSMMUG00000018166
ENSG00000118515	ENSMMUG00000008140
ENSG00000118518	ENSMMUG00000015354
ENSG00000118520	ENSMMUG00000017540
ENSG00000118523	ENSMMUG00000014150
ENSG00000118526	ENSMMUG00000064455
ENSG00000118557	ENSMMUG00000000680
ENSG00000118564	ENSMMUG00000009388
ENSG00000118579	ENSMMUG00000053953
ENSG00000118596	ENSMMUG00000014778
ENSG00000118600	ENSMMUG00000011561
ENSG00000118640	ENSMMUG00000030785
ENSG00000118655	ENSMMUG00000019527
ENSG00000118689	ENSMMUG00000020369
ENSG00000118690	ENSMMUG00000018231
ENSG00000118702	ENSMMUG00000031295
ENSG00000118705	ENSMMUG00000010363
ENSG00000118707	ENSMMUG00000008195
ENSG00000118729	ENSMMUG00000008970
ENSG00000118733	ENSMMUG00000006780
ENSG00000118762	ENSMMUG00000008795
ENSG00000118785	ENSMMUG00000008793
ENSG00000118816	ENSMMUG00000019904
ENSG00000118849	ENSMMUG00000014825
ENSG00000118855	ENSMMUG00000023510
ENSG00000118873	ENSMMUG00000007784
ENSG00000118898	ENSMMUG00000017822
ENSG00000118900	ENSMMUG00000009569
ENSG00000118922	ENSMMUG00000019097
ENSG00000118939	ENSMMUG00000003560
ENSG00000118946	ENSMMUG00000022272
ENSG00000118960	ENSMMUG00000022996
ENSG00000118961	ENSMMUG00000003355
ENSG00000118965	ENSMMUG00000001575
ENSG00000118972	ENSMMUG00000064833
ENSG00000118985	ENSMMUG00000005314
ENSG00000118997	ENSMMUG00000005622
ENSG00000119004	ENSMMUG00000005971
ENSG00000119013	ENSMMUG00000060044
ENSG00000119041	ENSMMUG00000008643
ENSG00000119042	ENSMMUG00000046254
ENSG00000119048	ENSMMUG00000016641
ENSG00000119121	ENSMMUG00000013102
ENSG00000119125	ENSMMUG00000019196
ENSG00000119138	ENSMMUG00000063718
ENSG00000119139	ENSMMUG00000003780
ENSG00000119147	ENSMMUG00000001697
ENSG00000119203	ENSMMUG00000018038
ENSG00000119227	ENSMMUG00000031409
ENSG00000119231	ENSMMUG00000002259
ENSG00000119242	ENSMMUG00000009212
ENSG00000119280	ENSMMUG00000005886
ENSG00000119283	ENSMMUG00000017449
ENSG00000119285	ENSMMUG00000015135
ENSG00000119314	ENSMMUG00000000464
ENSG00000119318	ENSMMUG00000014944
ENSG00000119321	ENSMMUG00000000173
ENSG00000119326	ENSMMUG00000000690
ENSG00000119328	ENSMMUG00000053648
ENSG00000119333	ENSMMUG00000009333
ENSG00000119383	ENSMMUG00000002515
ENSG00000119392	ENSMMUG00000005989
ENSG00000119396	ENSMMUG00000005595
ENSG00000119397	ENSMMUG00000012668
ENSG00000119401	ENSMMUG00000013107
ENSG00000119402	ENSMMUG00000001646
ENSG00000119403	ENSMMUG00000010623
ENSG00000119408	ENSMMUG00000007354
ENSG00000119411	ENSMMUG00000005851
ENSG00000119414	ENSMMUG00000020549
ENSG00000119421	ENSMMUG00000049344
ENSG00000119431	ENSMMUG00000007187
ENSG00000119446	ENSMMUG00000011455
ENSG00000119457	ENSMMUG00000000568
ENSG00000119471	ENSMMUG00000011654
ENSG00000119487	ENSMMUG00000016826
ENSG00000119508	ENSMMUG00000011410
ENSG00000119509	ENSMMUG00000001524
ENSG00000119514	ENSMMUG00000019561
ENSG00000119522	ENSMMUG00000006348
ENSG00000119523	ENSMMUG00000010662
ENSG00000119535	ENSMMUG00000020434
ENSG00000119537	ENSMMUG00000006578
ENSG00000119541	ENSMMUG00000021184
ENSG00000119547	ENSMMUG00000023218
ENSG00000119574	ENSMMUG00000017874
ENSG00000119596	ENSMMUG00000004255
ENSG00000119599	ENSMMUG00000003625
ENSG00000119608	ENSMMUG00000004259
ENSG00000119614	ENSMMUG00000029272
ENSG00000119616	ENSMMUG00000008887
ENSG00000119630	ENSMMUG00000002909
ENSG00000119632	ENSMMUG00000056668
ENSG00000119636	ENSMMUG00000012683
ENSG00000119638	ENSMMUG00000015166
ENSG00000119650	ENSMMUG00000012070
ENSG00000119655	ENSMMUG00000006563
ENSG00000119661	ENSMMUG00000004910
ENSG00000119681	ENSMMUG00000018015
ENSG00000119684	ENSMMUG00000002911
ENSG00000119685	ENSMMUG00000012065
ENSG00000119686	ENSMMUG00000017665
ENSG00000119688	ENSMMUG00000004041
ENSG00000119689	ENSMMUG00000004260
ENSG00000119698	ENSMMUG00000021295
ENSG00000119699	ENSMMUG00000012069
ENSG00000119703	ENSMMUG00000015165
ENSG00000119705	ENSMMUG00000029256
ENSG00000119707	ENSMMUG00000002332
ENSG00000119711	ENSMMUG00000012684
ENSG00000119714	ENSMMUG00000054889
ENSG00000119715	ENSMMUG00000016773
ENSG00000119718	ENSMMUG00000002910
ENSG00000119723	ENSMMUG00000011148
ENSG00000119725	ENSMMUG00000011144
ENSG00000119729	ENSMMUG00000005391
ENSG00000119737	ENSMMUG00000008105
ENSG00000119760	ENSMMUG00000019747
ENSG00000119771	ENSMMUG00000016030
ENSG00000119772	ENSMMUG00000013565
ENSG00000119777	ENSMMUG00000019733
ENSG00000119778	ENSMMUG00000020952
ENSG00000119782	ENSMMUG00000052726
ENSG00000119787	ENSMMUG00000008463
ENSG00000119801	ENSMMUG00000006615
ENSG00000119812	ENSMMUG00000010462
ENSG00000119820	ENSMMUG00000016094
ENSG00000119844	ENSMMUG00000006503
ENSG00000119862	ENSMMUG00000064711
ENSG00000119865	ENSMMUG00000046992
ENSG00000119866	ENSMMUG00000011303
ENSG00000119878	ENSMMUG00000048973
ENSG00000119888	ENSMMUG00000012390
ENSG00000119899	ENSMMUG00000008133
ENSG00000119900	ENSMMUG00000014671
ENSG00000119906	ENSMMUG00000013418
ENSG00000119912	ENSMMUG00000023267
ENSG00000119913	ENSMMUG00000003548
ENSG00000119915	ENSMMUG00000022752
ENSG00000119917	ENSMMUG00000005001
ENSG00000119919	ENSMMUG00000018270
ENSG00000119922	ENSMMUG00000061761
ENSG00000119927	ENSMMUG00000007526
ENSG00000119929	ENSMMUG00000061918
ENSG00000119938	ENSMMUG00000000242
ENSG00000119943	ENSMMUG00000020603
ENSG00000119946	ENSMMUG00000010357
ENSG00000119950	ENSMMUG00000014350
ENSG00000119953	ENSMMUG00000007775
ENSG00000119965	ENSMMUG00000008564
ENSG00000119969	ENSMMUG00000017255
ENSG00000119973	ENSMMUG00000052816
ENSG00000119977	ENSMMUG00000003103
ENSG00000119979	ENSMMUG00000008289
ENSG00000119986	ENSMMUG00000052153
ENSG00000120008	ENSMMUG00000001118
ENSG00000120029	ENSMMUG00000001539
ENSG00000120049	ENSMMUG00000015776
ENSG00000120051	ENSMMUG00000015339
ENSG00000120053	ENSMMUG00000010356
ENSG00000120054	ENSMMUG00000018755
ENSG00000120057	ENSMMUG00000064002
ENSG00000120063	ENSMMUG00000016371
ENSG00000120068	ENSMMUG00000020868
ENSG00000120071	ENSMMUG00000004129
ENSG00000120075	ENSMMUG00000051420
ENSG00000120088	ENSMMUG00000004108
ENSG00000120094	ENSMMUG00000022212
ENSG00000120129	ENSMMUG00000059336
ENSG00000120137	ENSMMUG00000012521
ENSG00000120149	ENSMMUG00000004932
ENSG00000120156	ENSMMUG00000006080
ENSG00000120158	ENSMMUG00000057331
ENSG00000120159	ENSMMUG00000006073
ENSG00000120160	ENSMMUG00000061449
ENSG00000120162	ENSMMUG00000062843
ENSG00000120210	ENSMMUG00000065127
ENSG00000120211	ENSMMUG00000058221
ENSG00000120215	ENSMMUG00000056663
ENSG00000120217	ENSMMUG00000012235
ENSG00000120235	ENSMMUG00000054514
ENSG00000120242	ENSMMUG00000063809
ENSG00000120251	ENSMMUG00000018272
ENSG00000120253	ENSMMUG00000047824
ENSG00000120254	ENSMMUG00000019774
ENSG00000120256	ENSMMUG00000029463
ENSG00000120262	ENSMMUG00000018346
ENSG00000120265	ENSMMUG00000029462
ENSG00000120278	ENSMMUG00000019772
ENSG00000120279	ENSMMUG00000019073
ENSG00000120280	ENSMMUG00000012710
ENSG00000120306	ENSMMUG00000059630
ENSG00000120314	ENSMMUG00000058653
ENSG00000120318	ENSMMUG00000000465
ENSG00000120322	ENSMMUG00000051748
ENSG00000120324	ENSMMUG00000061532
ENSG00000120329	ENSMMUG00000021943
ENSG00000120332	ENSMMUG00000000545
ENSG00000120333	ENSMMUG00000051176
ENSG00000120334	ENSMMUG00000008572
ENSG00000120337	ENSMMUG00000059499
ENSG00000120341	ENSMMUG00000020320
ENSG00000120370	ENSMMUG00000014674
ENSG00000120436	ENSMMUG00000060558
ENSG00000120437	ENSMMUG00000012843
ENSG00000120437	ENSMMUG00000030261
ENSG00000120438	ENSMMUG00000012846
ENSG00000120440	ENSMMUG00000005680
ENSG00000120451	ENSMMUG00000018119
ENSG00000120457	ENSMMUG00000003145
ENSG00000120458	ENSMMUG00000008488
ENSG00000120498	ENSMMUG00000003049
ENSG00000120500	ENSMMUG00000013935
ENSG00000120509	ENSMMUG00000061295
ENSG00000120519	ENSMMUG00000005522
ENSG00000120526	ENSMMUG00000006103
ENSG00000120533	ENSMMUG00000056202
ENSG00000120539	ENSMMUG00000016407
ENSG00000120549	ENSMMUG00000008376
ENSG00000120563	ENSMMUG00000040958
ENSG00000120563	ENSMMUG00000047021
ENSG00000120594	ENSMMUG00000015370
ENSG00000120616	ENSMMUG00000012451
ENSG00000120645	ENSMMUG00000022067
ENSG00000120647	ENSMMUG00000013892
ENSG00000120656	ENSMMUG00000050311
ENSG00000120658	ENSMMUG00000002330
ENSG00000120659	ENSMMUG00000017876
ENSG00000120662	ENSMMUG00000017978
ENSG00000120669	ENSMMUG00000001172
ENSG00000120675	ENSMMUG00000052269
ENSG00000120685	ENSMMUG00000002109
ENSG00000120686	ENSMMUG00000058145
ENSG00000120688	ENSMMUG00000007881
ENSG00000120690	ENSMMUG00000007880
ENSG00000120693	ENSMMUG00000009914
ENSG00000120694	ENSMMUG00000013707
ENSG00000120696	ENSMMUG00000004799
ENSG00000120697	ENSMMUG00000003585
ENSG00000120699	ENSMMUG00000003588
ENSG00000120705	ENSMMUG00000005871
ENSG00000120708	ENSMMUG00000000332
ENSG00000120709	ENSMMUG00000005396
ENSG00000120725	ENSMMUG00000001939
ENSG00000120727	ENSMMUG00000060205
ENSG00000120733	ENSMMUG00000000455
ENSG00000120738	ENSMMUG00000055069
ENSG00000120742	ENSMMUG00000054234
ENSG00000120756	ENSMMUG00000055990
ENSG00000120784	ENSMMUG00000053870
ENSG00000120798	ENSMMUG00000018898
ENSG00000120800	ENSMMUG00000012891
ENSG00000120802	ENSMMUG00000023719
ENSG00000120805	ENSMMUG00000031610
ENSG00000120820	ENSMMUG00000021292
ENSG00000120832	ENSMMUG00000022278
ENSG00000120833	ENSMMUG00000054674
ENSG00000120837	ENSMMUG00000022570
ENSG00000120860	ENSMMUG00000046478
ENSG00000120868	ENSMMUG00000022404
ENSG00000120875	ENSMMUG00000049727
ENSG00000120885	ENSMMUG00000021516
ENSG00000120889	ENSMMUG00000048076
ENSG00000120896	ENSMMUG00000014445
ENSG00000120899	ENSMMUG00000019159
ENSG00000120903	ENSMMUG00000021514
ENSG00000120907	ENSMMUG00000023112
ENSG00000120910	ENSMMUG00000014442
ENSG00000120913	ENSMMUG00000018520
ENSG00000120915	ENSMMUG00000021515
ENSG00000120925	ENSMMUG00000028999
ENSG00000120937	ENSMMUG00000055655
ENSG00000120942	ENSMMUG00000032252
ENSG00000120948	ENSMMUG00000007456
ENSG00000120949	ENSMMUG00000008340
ENSG00000120952	ENSMMUG00000054892
ENSG00000120963	ENSMMUG00000006943
ENSG00000120992	ENSMMUG00000013157
ENSG00000121005	ENSMMUG00000011040
ENSG00000121022	ENSMMUG00000006281
ENSG00000121039	ENSMMUG00000005143
ENSG00000121053	ENSMMUG00000011973
ENSG00000121057	ENSMMUG00000012644
ENSG00000121060	ENSMMUG00000005790
ENSG00000121064	ENSMMUG00000002269
ENSG00000121067	ENSMMUG00000018752
ENSG00000121068	ENSMMUG00000046656
ENSG00000121075	ENSMMUG00000051933
ENSG00000121101	ENSMMUG00000046572
ENSG00000121104	ENSMMUG00000008870
ENSG00000121152	ENSMMUG00000023269
ENSG00000121207	ENSMMUG00000052999
ENSG00000121210	ENSMMUG00000009001
ENSG00000121236	ENSMMUG00000013490
ENSG00000121270	ENSMMUG00000008290
ENSG00000121274	ENSMMUG00000003116
ENSG00000121281	ENSMMUG00000003118
ENSG00000121289	ENSMMUG00000018351
ENSG00000121297	ENSMMUG00000014028
ENSG00000121310	ENSMMUG00000004951
ENSG00000121314	ENSMMUG00000055681
ENSG00000121316	ENSMMUG00000003665
ENSG00000121318	ENSMMUG00000061774
ENSG00000121350	ENSMMUG00000010854
ENSG00000121351	ENSMMUG00000032087
ENSG00000121361	ENSMMUG00000056014
ENSG00000121377	ENSMMUG00000055103
ENSG00000121380	ENSMMUG00000023315
ENSG00000121381	ENSMMUG00000054325
ENSG00000121390	ENSMMUG00000020262
ENSG00000121406	ENSMMUG00000006121
ENSG00000121410	ENSMMUG00000012459
ENSG00000121413	ENSMMUG00000020503
ENSG00000121440	ENSMMUG00000012661
ENSG00000121446	ENSMMUG00000031291
ENSG00000121454	ENSMMUG00000055544
ENSG00000121481	ENSMMUG00000013878
ENSG00000121486	ENSMMUG00000013879
ENSG00000121542	ENSMMUG00000007702
ENSG00000121552	ENSMMUG00000056258
ENSG00000121570	ENSMMUG00000016901
ENSG00000121577	ENSMMUG00000000905
ENSG00000121578	ENSMMUG00000003592
ENSG00000121578	ENSMMUG00000062606
ENSG00000121579	ENSMMUG00000055908
ENSG00000121594	ENSMMUG00000016367
ENSG00000121621	ENSMMUG00000013613
ENSG00000121634	ENSMMUG00000001382
ENSG00000121644	ENSMMUG00000022310
ENSG00000121653	ENSMMUG00000002456
ENSG00000121671	ENSMMUG00000002453
ENSG00000121680	ENSMMUG00000008878
ENSG00000121690	ENSMMUG00000002535
ENSG00000121691	ENSMMUG00000002429
ENSG00000121741	ENSMMUG00000030812
ENSG00000121742	ENSMMUG00000023295
ENSG00000121743	ENSMMUG00000052705
ENSG00000121749	ENSMMUG00000007727
ENSG00000121753	ENSMMUG00000023401
ENSG00000121764	ENSMMUG00000023396
ENSG00000121766	ENSMMUG00000012156
ENSG00000121769	ENSMMUG00000064353
ENSG00000121774	ENSMMUG00000023438
ENSG00000121775	ENSMMUG00000015650
ENSG00000121797	ENSMMUG00000014260
ENSG00000121807	ENSMMUG00000062394
ENSG00000121851	ENSMMUG00000016738
ENSG00000121853	ENSMMUG00000004194
ENSG00000121858	ENSMMUG00000019302
ENSG00000121864	ENSMMUG00000023078
ENSG00000121871	ENSMMUG00000011050
ENSG00000121879	ENSMMUG00000005188
ENSG00000121892	ENSMMUG00000011323
ENSG00000121895	ENSMMUG00000002419
ENSG00000121897	ENSMMUG00000013851
ENSG00000121898	ENSMMUG00000020346
ENSG00000121900	ENSMMUG00000017301
ENSG00000121903	ENSMMUG00000006389
ENSG00000121904	ENSMMUG00000002741
ENSG00000121905	ENSMMUG00000017302
ENSG00000121931	ENSMMUG00000000812
ENSG00000121933	ENSMMUG00000003581
ENSG00000121940	ENSMMUG00000000390
ENSG00000121957	ENSMMUG00000010161
ENSG00000121964	ENSMMUG00000011922
ENSG00000121966	ENSMMUG00000011918
ENSG00000121988	ENSMMUG00000000765
ENSG00000121989	ENSMMUG00000000042
ENSG00000122008	ENSMMUG00000006144
ENSG00000122012	ENSMMUG00000019887
ENSG00000122025	ENSMMUG00000016139
ENSG00000122033	ENSMMUG00000009030
ENSG00000122034	ENSMMUG00000009029
ENSG00000122035	ENSMMUG00000049650
ENSG00000122042	ENSMMUG00000003771
ENSG00000122068	ENSMMUG00000048439
ENSG00000122085	ENSMMUG00000006835
ENSG00000122121	ENSMMUG00000011474
ENSG00000122122	ENSMMUG00000020695
ENSG00000122126	ENSMMUG00000008825
ENSG00000122133	ENSMMUG00000017915
ENSG00000122140	ENSMMUG00000060840
ENSG00000122145	ENSMMUG00000054447
ENSG00000122176	ENSMMUG00000021642
ENSG00000122180	ENSMMUG00000043626
ENSG00000122188	ENSMMUG00000054133
ENSG00000122194	ENSMMUG00000016945
ENSG00000122203	ENSMMUG00000003921
ENSG00000122218	ENSMMUG00000021854
ENSG00000122223	ENSMMUG00000017333
ENSG00000122224	ENSMMUG00000053012
ENSG00000122254	ENSMMUG00000058042
ENSG00000122257	ENSMMUG00000015908
ENSG00000122299	ENSMMUG00000011242
ENSG00000122304	ENSMMUG00000010953
ENSG00000122335	ENSMMUG00000029510
ENSG00000122359	ENSMMUG00000019780
ENSG00000122367	ENSMMUG00000003608
ENSG00000122375	ENSMMUG00000003607
ENSG00000122376	ENSMMUG00000013439
ENSG00000122376	ENSMMUG00000060137
ENSG00000122378	ENSMMUG00000021773
ENSG00000122386	ENSMMUG00000009487
ENSG00000122390	ENSMMUG00000018711
ENSG00000122406	ENSMMUG00000005072
ENSG00000122417	ENSMMUG00000001380
ENSG00000122420	ENSMMUG00000010594
ENSG00000122432	ENSMMUG00000022183
ENSG00000122435	ENSMMUG00000004243
ENSG00000122477	ENSMMUG00000004241
ENSG00000122481	ENSMMUG00000004758
ENSG00000122482	ENSMMUG00000007635
ENSG00000122483	ENSMMUG00000016812
ENSG00000122484	ENSMMUG00000010096
ENSG00000122490	ENSMMUG00000001612
ENSG00000122507	ENSMMUG00000002886
ENSG00000122512	ENSMMUG00000030421
ENSG00000122515	ENSMMUG00000002652
ENSG00000122543	ENSMMUG00000049706
ENSG00000122543	ENSMMUG00000056983
ENSG00000122545	ENSMMUG00000006980
ENSG00000122547	ENSMMUG00000010702
ENSG00000122550	ENSMMUG00000001562
ENSG00000122557	ENSMMUG00000001350
ENSG00000122565	ENSMMUG00000006818
ENSG00000122565	ENSMMUG00000040322
ENSG00000122566	ENSMMUG00000003619
ENSG00000122574	ENSMMUG00000045852
ENSG00000122584	ENSMMUG00000009711
ENSG00000122585	ENSMMUG00000009818
ENSG00000122591	ENSMMUG00000000517
ENSG00000122592	ENSMMUG00000013458
ENSG00000122641	ENSMMUG00000061466
ENSG00000122642	ENSMMUG00000011694
ENSG00000122643	ENSMMUG00000011695
ENSG00000122644	ENSMMUG00000010846
ENSG00000122674	ENSMMUG00000007970
ENSG00000122674	ENSMMUG00000062930
ENSG00000122678	ENSMMUG00000002421
ENSG00000122679	ENSMMUG00000057810
ENSG00000122687	ENSMMUG00000017020
ENSG00000122692	ENSMMUG00000002088
ENSG00000122694	ENSMMUG00000010213
ENSG00000122696	ENSMMUG00000052842
ENSG00000122705	ENSMMUG00000006132
ENSG00000122707	ENSMMUG00000022613
ENSG00000122711	ENSMMUG00000020146
ENSG00000122728	ENSMMUG00000007965
ENSG00000122729	ENSMMUG00000008196
ENSG00000122733	ENSMMUG00000006927
ENSG00000122735	ENSMMUG00000020777
ENSG00000122741	ENSMMUG00000047381
ENSG00000122756	ENSMMUG00000020780
ENSG00000122778	ENSMMUG00000006548
ENSG00000122779	ENSMMUG00000002995
ENSG00000122783	ENSMMUG00000039133
ENSG00000122786	ENSMMUG00000006527
ENSG00000122787	ENSMMUG00000005422
ENSG00000122824	ENSMMUG00000046256
ENSG00000122852	ENSMMUG00000040590
ENSG00000122852	ENSMMUG00000047229
ENSG00000122852	ENSMMUG00000057196
ENSG00000122859	ENSMMUG00000008956
ENSG00000122861	ENSMMUG00000009906
ENSG00000122862	ENSMMUG00000037735
ENSG00000122863	ENSMMUG00000052336
ENSG00000122870	ENSMMUG00000015750
ENSG00000122877	ENSMMUG00000010256
ENSG00000122882	ENSMMUG00000011280
ENSG00000122884	ENSMMUG00000011274
ENSG00000122952	ENSMMUG00000022376
ENSG00000122958	ENSMMUG00000004101
ENSG00000122965	ENSMMUG00000010496
ENSG00000122966	ENSMMUG00000019861
ENSG00000122970	ENSMMUG00000023032
ENSG00000122971	ENSMMUG00000020648
ENSG00000122986	ENSMMUG00000012840
ENSG00000123064	ENSMMUG00000021795
ENSG00000123066	ENSMMUG00000001906
ENSG00000123080	ENSMMUG00000019057
ENSG00000123094	ENSMMUG00000018385
ENSG00000123095	ENSMMUG00000039562
ENSG00000123096	ENSMMUG00000018630
ENSG00000123104	ENSMMUG00000023128
ENSG00000123106	ENSMMUG00000011802
ENSG00000123119	ENSMMUG00000013392
ENSG00000123124	ENSMMUG00000058330
ENSG00000123130	ENSMMUG00000018824
ENSG00000123131	ENSMMUG00000021366
ENSG00000123136	ENSMMUG00000005723
ENSG00000123143	ENSMMUG00000005727
ENSG00000123144	ENSMMUG00000006274
ENSG00000123146	ENSMMUG00000005722
ENSG00000123154	ENSMMUG00000016868
ENSG00000123159	ENSMMUG00000005729
ENSG00000123165	ENSMMUG00000019612
ENSG00000123171	ENSMMUG00000004543
ENSG00000123178	ENSMMUG00000009579
ENSG00000123179	ENSMMUG00000020571
ENSG00000123191	ENSMMUG00000016520
ENSG00000123200	ENSMMUG00000017025
ENSG00000123213	ENSMMUG00000016522
ENSG00000123219	ENSMMUG00000016509
ENSG00000123240	ENSMMUG00000005601
ENSG00000123243	ENSMMUG00000015850
ENSG00000123268	ENSMMUG00000054294
ENSG00000123297	ENSMMUG00000005893
ENSG00000123307	ENSMMUG00000060106
ENSG00000123329	ENSMMUG00000022060
ENSG00000123338	ENSMMUG00000000108
ENSG00000123342	ENSMMUG00000006295
ENSG00000123349	ENSMMUG00000022030
ENSG00000123352	ENSMMUG00000003762
ENSG00000123353	ENSMMUG00000053458
ENSG00000123358	ENSMMUG00000022922
ENSG00000123360	ENSMMUG00000000111
ENSG00000123364	ENSMMUG00000054600
ENSG00000123384	ENSMMUG00000021782
ENSG00000123388	ENSMMUG00000000924
ENSG00000123395	ENSMMUG00000015392
ENSG00000123405	ENSMMUG00000012992
ENSG00000123407	ENSMMUG00000004541
ENSG00000123411	ENSMMUG00000007523
ENSG00000123415	ENSMMUG00000011642
ENSG00000123444	ENSMMUG00000004289
ENSG00000123453	ENSMMUG00000017210
ENSG00000123454	ENSMMUG00000017207
ENSG00000123472	ENSMMUG00000004863
ENSG00000123473	ENSMMUG00000020389
ENSG00000123485	ENSMMUG00000021221
ENSG00000123496	ENSMMUG00000022224
ENSG00000123500	ENSMMUG00000063074
ENSG00000123505	ENSMMUG00000000535
ENSG00000123545	ENSMMUG00000018843
ENSG00000123552	ENSMMUG00000005929
ENSG00000123560	ENSMMUG00000000809
ENSG00000123561	ENSMMUG00000003266
ENSG00000123562	ENSMMUG00000006111
ENSG00000123569	ENSMMUG00000032378
ENSG00000123569	ENSMMUG00000032380
