ENSG00000000003	ENSPTRG00000022087
ENSG00000107140	ENSPTRG00000020911
ENSG00000107147	ENSPTRG00000050307
ENSG00000107159	ENSPTRG00000020916
ENSG00000107164	ENSPTRG00000021474
ENSG00000107165	ENSPTRG00000020774
ENSG00000107175	ENSPTRG00000020918
ENSG00000107185	ENSPTRG00000020920
ENSG00000107186	ENSPTRG00000020776
ENSG00000107187	ENSPTRG00000021546
ENSG00000107201	ENSPTRG00000020844
ENSG00000107223	ENSPTRG00000021577
ENSG00000107242	ENSPTRG00000021001
ENSG00000107249	ENSPTRG00000020738
ENSG00000107262	ENSPTRG00000020856
ENSG00000107263	ENSPTRG00000021490
ENSG00000107281	ENSPTRG00000021587
ENSG00000107282	ENSPTRG00000021007
ENSG00000107290	ENSPTRG00000021495
ENSG00000107295	ENSPTRG00000020792
ENSG00000107317	ENSPTRG00000021582
ENSG00000107331	ENSPTRG00000044781
ENSG00000107338	ENSPTRG00000020955
ENSG00000107341	ENSPTRG00000020870
ENSG00000107362	ENSPTRG00000021017
ENSG00000107371	ENSPTRG00000020952
ENSG00000107372	ENSPTRG00000046315
ENSG00000107404	ENSPTRG00000000025
ENSG00000107438	ENSPTRG00000002783
ENSG00000107443	ENSPTRG00000002790
ENSG00000107447	ENSPTRG00000002793
ENSG00000107485	ENSPTRG00000023695
ENSG00000107518	ENSPTRG00000002965
ENSG00000107521	ENSPTRG00000002825
ENSG00000107537	ENSPTRG00000002302
ENSG00000107551	ENSPTRG00000002452
ENSG00000107554	ENSPTRG00000049744
ENSG00000107560	ENSPTRG00000002982
ENSG00000107562	ENSPTRG00000046813
ENSG00000107566	ENSPTRG00000002841
ENSG00000107581	ENSPTRG00000002988
ENSG00000107593	ENSPTRG00000002845
ENSG00000107611	ENSPTRG00000002326
ENSG00000107614	ENSPTRG00000002327
ENSG00000107625	ENSPTRG00000002562
ENSG00000107643	ENSPTRG00000002478
ENSG00000107651	ENSPTRG00000003001
ENSG00000107669	ENSPTRG00000003005
ENSG00000107672	ENSPTRG00000003006
ENSG00000107679	ENSPTRG00000003010
ENSG00000107719	ENSPTRG00000002594
ENSG00000107731	ENSPTRG00000002600
ENSG00000107736	ENSPTRG00000002603
ENSG00000107738	ENSPTRG00000002605
ENSG00000107742	ENSPTRG00000002608
ENSG00000107745	ENSPTRG00000002615
ENSG00000107758	ENSPTRG00000002631
ENSG00000107771	ENSPTRG00000002697
ENSG00000107779	ENSPTRG00000002706
ENSG00000107779	ENSPTRG00000040684
ENSG00000107789	ENSPTRG00000002715
ENSG00000107796	ENSPTRG00000048353
ENSG00000107798	ENSPTRG00000002732
ENSG00000107807	ENSPTRG00000002867
ENSG00000107815	ENSPTRG00000029751
ENSG00000107816	ENSPTRG00000042870
ENSG00000107819	ENSPTRG00000002864
ENSG00000107821	ENSPTRG00000002865
ENSG00000107829	ENSPTRG00000048959
ENSG00000107831	ENSPTRG00000002874
ENSG00000107833	ENSPTRG00000002875
ENSG00000107854	ENSPTRG00000002749
ENSG00000107859	ENSPTRG00000002886
ENSG00000107862	ENSPTRG00000002887
ENSG00000107863	ENSPTRG00000002365
ENSG00000107864	ENSPTRG00000002753
ENSG00000107872	ENSPTRG00000002890
ENSG00000107874	ENSPTRG00000002891
ENSG00000107882	ENSPTRG00000002895
ENSG00000107890	ENSPTRG00000002376
ENSG00000107897	ENSPTRG00000002380
ENSG00000107902	ENSPTRG00000003030
ENSG00000107929	ENSPTRG00000002235
ENSG00000107937	ENSPTRG00000002236
ENSG00000107938	ENSPTRG00000003040
ENSG00000107949	ENSPTRG00000003043
ENSG00000107951	ENSPTRG00000033794
ENSG00000107954	ENSPTRG00000049609
ENSG00000107957	ENSPTRG00000047766
ENSG00000107959	ENSPTRG00000002244
ENSG00000107960	ENSPTRG00000002919
ENSG00000107968	ENSPTRG00000002400
ENSG00000107984	ENSPTRG00000002511
ENSG00000108001	ENSPTRG00000047103
ENSG00000108010	ENSPTRG00000003060
ENSG00000108018	ENSPTRG00000002931
ENSG00000108021	ENSPTRG00000002258
ENSG00000108039	ENSPTRG00000002934
ENSG00000108055	ENSPTRG00000002939
ENSG00000108061	ENSPTRG00000002941
ENSG00000108064	ENSPTRG00000048475
ENSG00000108091	ENSPTRG00000002524
ENSG00000108094	ENSPTRG00000002418
ENSG00000108094	ENSPTRG00000044376
ENSG00000108100	ENSPTRG00000002421
ENSG00000108106	ENSPTRG00000011507
ENSG00000108107	ENSPTRG00000043492
ENSG00000108107	ENSPTRG00000043676
ENSG00000108175	ENSPTRG00000002668
ENSG00000108176	ENSPTRG00000002546
ENSG00000108179	ENSPTRG00000002669
ENSG00000108187	ENSPTRG00000002552
ENSG00000108219	ENSPTRG00000002686
ENSG00000108231	ENSPTRG00000002771
ENSG00000108239	ENSPTRG00000002777
ENSG00000108244	ENSPTRG00000009137
ENSG00000108255	ENSPTRG00000008946
ENSG00000108256	ENSPTRG00000008947
ENSG00000108262	ENSPTRG00000008952
ENSG00000108306	ENSPTRG00000009090
ENSG00000108309	ENSPTRG00000009271
ENSG00000108312	ENSPTRG00000009269
ENSG00000108342	ENSPTRG00000024346
ENSG00000108344	ENSPTRG00000009109
ENSG00000108349	ENSPTRG00000009115
ENSG00000108352	ENSPTRG00000009116
ENSG00000108370	ENSPTRG00000009552
ENSG00000108375	ENSPTRG00000034322
ENSG00000108379	ENSPTRG00000009321
ENSG00000108379	ENSPTRG00000046218
ENSG00000108381	ENSPTRG00000008568
ENSG00000108384	ENSPTRG00000009458
ENSG00000108387	ENSPTRG00000009455
ENSG00000108389	ENSPTRG00000009454
ENSG00000108395	ENSPTRG00000009460
ENSG00000108405	ENSPTRG00000008580
ENSG00000108406	ENSPTRG00000009471
ENSG00000108417	ENSPTRG00000009162
ENSG00000108423	ENSPTRG00000009476
ENSG00000108424	ENSPTRG00000009333
ENSG00000108433	ENSPTRG00000040482
ENSG00000108439	ENSPTRG00000009343
ENSG00000108443	ENSPTRG00000009477
ENSG00000108465	ENSPTRG00000009345
ENSG00000108468	ENSPTRG00000052115
ENSG00000108469	ENSPTRG00000009651
ENSG00000108474	ENSPTRG00000008809
ENSG00000108479	ENSPTRG00000009654
ENSG00000108506	ENSPTRG00000009496
ENSG00000108509	ENSPTRG00000023129
ENSG00000108510	ENSPTRG00000009497
ENSG00000108511	ENSPTRG00000009356
ENSG00000108515	ENSPTRG00000008617
ENSG00000108518	ENSPTRG00000008616
ENSG00000108523	ENSPTRG00000008615
ENSG00000108528	ENSPTRG00000008614
ENSG00000108551	ENSPTRG00000008831
ENSG00000108556	ENSPTRG00000008612
ENSG00000108557	ENSPTRG00000008833
ENSG00000108559	ENSPTRG00000008629
ENSG00000108561	ENSPTRG00000008631
ENSG00000108576	ENSPTRG00000008958
ENSG00000108578	ENSPTRG00000008959
ENSG00000108582	ENSPTRG00000008961
ENSG00000108587	ENSPTRG00000008962
ENSG00000108588	ENSPTRG00000009522
ENSG00000108590	ENSPTRG00000008645
ENSG00000108591	ENSPTRG00000008842
ENSG00000108592	ENSPTRG00000009524
ENSG00000108599	ENSPTRG00000008877
ENSG00000108602	ENSPTRG00000008874
ENSG00000108604	ENSPTRG00000009526
ENSG00000108622	ENSPTRG00000009534
ENSG00000108641	ENSPTRG00000008866
ENSG00000108651	ENSPTRG00000008977
ENSG00000108654	ENSPTRG00000009543
ENSG00000108666	ENSPTRG00000008988
ENSG00000108669	ENSPTRG00000009717
ENSG00000108671	ENSPTRG00000008990
ENSG00000108679	ENSPTRG00000009722
ENSG00000108684	ENSPTRG00000008996
ENSG00000108688	ENSPTRG00000009000
ENSG00000108691	ENSPTRG00000008999
ENSG00000108700	ENSPTRG00000009002
ENSG00000108702	ENSPTRG00000009004
ENSG00000108733	ENSPTRG00000009020
ENSG00000108759	ENSPTRG00000009164
ENSG00000108771	ENSPTRG00000009191
ENSG00000108773	ENSPTRG00000009192
ENSG00000108774	ENSPTRG00000009194
ENSG00000108784	ENSPTRG00000009203
ENSG00000108786	ENSPTRG00000052042
ENSG00000108788	ENSPTRG00000009208
ENSG00000108797	ENSPTRG00000009216
ENSG00000108798	ENSPTRG00000009371
ENSG00000108799	ENSPTRG00000009217
ENSG00000108813	ENSPTRG00000009385
ENSG00000108819	ENSPTRG00000043428
ENSG00000108821	ENSPTRG00000009393
ENSG00000108823	ENSPTRG00000009391
ENSG00000108826	ENSPTRG00000009396
ENSG00000108828	ENSPTRG00000009234
ENSG00000108829	ENSPTRG00000009398
ENSG00000108830	ENSPTRG00000046585
ENSG00000108839	ENSPTRG00000008653
ENSG00000108840	ENSPTRG00000009263
ENSG00000108846	ENSPTRG00000009406
ENSG00000108848	ENSPTRG00000009409
ENSG00000108849	ENSPTRG00000009257
ENSG00000108852	ENSPTRG00000009254
ENSG00000108854	ENSPTRG00000009546
ENSG00000108861	ENSPTRG00000038773
ENSG00000108878	ENSPTRG00000009561
ENSG00000108883	ENSPTRG00000009287
ENSG00000108924	ENSPTRG00000009424
ENSG00000108932	ENSPTRG00000009575
ENSG00000108946	ENSPTRG00000009579
ENSG00000108947	ENSPTRG00000046966
ENSG00000108950	ENSPTRG00000009580
ENSG00000108953	ENSPTRG00000008521
ENSG00000108960	ENSPTRG00000009425
ENSG00000108961	ENSPTRG00000008737
ENSG00000108963	ENSPTRG00000008542
ENSG00000108984	ENSPTRG00000009588
ENSG00000109016	ENSPTRG00000008892
ENSG00000109046	ENSPTRG00000008899
ENSG00000109047	ENSPTRG00000008762
ENSG00000109061	ENSPTRG00000008771
ENSG00000109062	ENSPTRG00000009616
ENSG00000109063	ENSPTRG00000008773
ENSG00000109065	ENSPTRG00000009617
ENSG00000109066	ENSPTRG00000009618
ENSG00000109072	ENSPTRG00000008916
ENSG00000109079	ENSPTRG00000008912
ENSG00000109083	ENSPTRG00000008911
ENSG00000109084	ENSPTRG00000008909
ENSG00000109089	ENSPTRG00000009626
ENSG00000109101	ENSPTRG00000008920
ENSG00000109103	ENSPTRG00000008921
ENSG00000109107	ENSPTRG00000008923
ENSG00000109111	ENSPTRG00000008929
ENSG00000109113	ENSPTRG00000008931
ENSG00000109118	ENSPTRG00000008941
ENSG00000109132	ENSPTRG00000016011
ENSG00000109133	ENSPTRG00000016012
ENSG00000109158	ENSPTRG00000016029
ENSG00000109163	ENSPTRG00000016100
ENSG00000109171	ENSPTRG00000016042
ENSG00000109180	ENSPTRG00000016047
ENSG00000109181	ENSPTRG00000043598
ENSG00000109182	ENSPTRG00000016049
ENSG00000109184	ENSPTRG00000016051
ENSG00000109189	ENSPTRG00000043855
ENSG00000109193	ENSPTRG00000016118
ENSG00000109205	ENSPTRG00000016124
ENSG00000109208	ENSPTRG00000016128
ENSG00000109220	ENSPTRG00000016064
ENSG00000109255	ENSPTRG00000016074
ENSG00000109265	ENSPTRG00000016078
ENSG00000109270	ENSPTRG00000016310
ENSG00000109272	ENSPTRG00000049788
ENSG00000109320	ENSPTRG00000016320
ENSG00000109321	ENSPTRG00000016167
ENSG00000109323	ENSPTRG00000016322
ENSG00000109339	ENSPTRG00000016244
ENSG00000109381	ENSPTRG00000016449
ENSG00000109424	ENSPTRG00000016463
ENSG00000109436	ENSPTRG00000016464
ENSG00000109445	ENSPTRG00000016466
ENSG00000109452	ENSPTRG00000016469
ENSG00000109458	ENSPTRG00000016471
ENSG00000109466	ENSPTRG00000016572
ENSG00000109471	ENSPTRG00000016418
ENSG00000109472	ENSPTRG00000016575
ENSG00000109475	ENSPTRG00000016353
ENSG00000109501	ENSPTRG00000050026
ENSG00000109511	ENSPTRG00000016580
ENSG00000109519	ENSPTRG00000015894
ENSG00000109534	ENSPTRG00000016364
ENSG00000109536	ENSPTRG00000016671
ENSG00000109536	ENSPTRG00000050205
ENSG00000109572	ENSPTRG00000016589
ENSG00000109576	ENSPTRG00000016592
ENSG00000109586	ENSPTRG00000016596
ENSG00000109606	ENSPTRG00000015955
ENSG00000109610	ENSPTRG00000015956
ENSG00000109618	ENSPTRG00000015959
ENSG00000109625	ENSPTRG00000015909
ENSG00000109654	ENSPTRG00000016522
ENSG00000109667	ENSPTRG00000015915
ENSG00000109670	ENSPTRG00000016514
ENSG00000109674	ENSPTRG00000016617
ENSG00000109680	ENSPTRG00000015970
ENSG00000109684	ENSPTRG00000015918
ENSG00000109685	ENSPTRG00000015838
ENSG00000109686	ENSPTRG00000016509
ENSG00000109689	ENSPTRG00000015971
ENSG00000109705	ENSPTRG00000048496
ENSG00000109736	ENSPTRG00000015851
ENSG00000109738	ENSPTRG00000016547
ENSG00000109743	ENSPTRG00000015929
ENSG00000109756	ENSPTRG00000016558
ENSG00000109758	ENSPTRG00000015857
ENSG00000109758	ENSPTRG00000046138
ENSG00000109762	ENSPTRG00000016649
ENSG00000109771	ENSPTRG00000016650
ENSG00000109775	ENSPTRG00000016652
ENSG00000109787	ENSPTRG00000015983
ENSG00000109790	ENSPTRG00000015989
ENSG00000109794	ENSPTRG00000049170
ENSG00000109805	ENSPTRG00000015942
ENSG00000109814	ENSPTRG00000015996
ENSG00000109819	ENSPTRG00000015954
ENSG00000109832	ENSPTRG00000004450
ENSG00000109846	ENSPTRG00000004274
ENSG00000109851	ENSPTRG00000044088
ENSG00000109854	ENSPTRG00000003438
ENSG00000109861	ENSPTRG00000004152
ENSG00000109881	ENSPTRG00000003454
ENSG00000109906	ENSPTRG00000004302
ENSG00000109911	ENSPTRG00000003473
ENSG00000109917	ENSPTRG00000004312
ENSG00000109917	ENSPTRG00000046746
ENSG00000109919	ENSPTRG00000003573
ENSG00000109920	ENSPTRG00000003575
ENSG00000109927	ENSPTRG00000004396
ENSG00000109929	ENSPTRG00000046128
ENSG00000109943	ENSPTRG00000004401
ENSG00000109944	ENSPTRG00000004402
ENSG00000109956	ENSPTRG00000004501
ENSG00000109971	ENSPTRG00000004404
ENSG00000109991	ENSPTRG00000003654
ENSG00000110002	ENSPTRG00000004419
ENSG00000110011	ENSPTRG00000003824
ENSG00000110013	ENSPTRG00000004425
ENSG00000110025	ENSPTRG00000003857
ENSG00000110031	ENSPTRG00000003681
ENSG00000110042	ENSPTRG00000003688
ENSG00000110046	ENSPTRG00000003852
ENSG00000110047	ENSPTRG00000003851
ENSG00000110048	ENSPTRG00000003696
ENSG00000110057	ENSPTRG00000003975
ENSG00000110060	ENSPTRG00000004449
ENSG00000110063	ENSPTRG00000004459
ENSG00000110066	ENSPTRG00000003981
ENSG00000110074	ENSPTRG00000004457
ENSG00000110075	ENSPTRG00000003984
ENSG00000110076	ENSPTRG00000003843
ENSG00000110077	ENSPTRG00000003709
ENSG00000110079	ENSPTRG00000003710
ENSG00000110080	ENSPTRG00000004461
ENSG00000110090	ENSPTRG00000003987
ENSG00000110092	ENSPTRG00000052519
ENSG00000110104	ENSPTRG00000003721
ENSG00000110107	ENSPTRG00000003724
ENSG00000110108	ENSPTRG00000003725
ENSG00000110169	ENSPTRG00000003289
ENSG00000110171	ENSPTRG00000003290
ENSG00000110172	ENSPTRG00000004164
ENSG00000110195	ENSPTRG00000004029
ENSG00000110203	ENSPTRG00000004027
ENSG00000110218	ENSPTRG00000004181
ENSG00000110237	ENSPTRG00000049905
ENSG00000110243	ENSPTRG00000004313
ENSG00000110243	ENSPTRG00000043307
ENSG00000110244	ENSPTRG00000004314
ENSG00000110244	ENSPTRG00000051026
ENSG00000110245	ENSPTRG00000004315
ENSG00000110245	ENSPTRG00000044205
ENSG00000110274	ENSPTRG00000004325
ENSG00000110315	ENSPTRG00000003357
ENSG00000110318	ENSPTRG00000004209
ENSG00000110321	ENSPTRG00000003362
ENSG00000110324	ENSPTRG00000043823
ENSG00000110328	ENSPTRG00000003365
ENSG00000110330	ENSPTRG00000004213
ENSG00000110344	ENSPTRG00000004341
ENSG00000110367	ENSPTRG00000004353
ENSG00000110375	ENSPTRG00000045425
ENSG00000110395	ENSPTRG00000004378
ENSG00000110400	ENSPTRG00000004387
ENSG00000110422	ENSPTRG00000003486
ENSG00000110427	ENSPTRG00000003487
ENSG00000110429	ENSPTRG00000003490
ENSG00000110435	ENSPTRG00000003500
ENSG00000110436	ENSPTRG00000003502
ENSG00000110442	ENSPTRG00000049063
ENSG00000110446	ENSPTRG00000003727
ENSG00000110448	ENSPTRG00000003729
ENSG00000110484	ENSPTRG00000003763
ENSG00000110492	ENSPTRG00000047115
ENSG00000110497	ENSPTRG00000003546
ENSG00000110514	ENSPTRG00000003561
ENSG00000110536	ENSPTRG00000033944
ENSG00000110583	ENSPTRG00000003815
ENSG00000110619	ENSPTRG00000003188
ENSG00000110628	ENSPTRG00000003184
ENSG00000110651	ENSPTRG00000003177
ENSG00000110660	ENSPTRG00000004244
ENSG00000110665	ENSPTRG00000048114
ENSG00000110675	ENSPTRG00000004241
ENSG00000110680	ENSPTRG00000003389
ENSG00000110693	ENSPTRG00000003393
ENSG00000110696	ENSPTRG00000044196
ENSG00000110697	ENSPTRG00000003965
ENSG00000110700	ENSPTRG00000003397
ENSG00000110700	ENSPTRG00000043753
ENSG00000110700	ENSPTRG00000044626
ENSG00000110700	ENSPTRG00000051948
ENSG00000110711	ENSPTRG00000003964
ENSG00000110713	ENSPTRG00000003200
ENSG00000110717	ENSPTRG00000003978
ENSG00000110719	ENSPTRG00000003979
ENSG00000110721	ENSPTRG00000003980
ENSG00000110723	ENSPTRG00000004254
ENSG00000110756	ENSPTRG00000003419
ENSG00000110768	ENSPTRG00000003420
ENSG00000110777	ENSPTRG00000004264
ENSG00000110786	ENSPTRG00000003430
ENSG00000110799	ENSPTRG00000004566
ENSG00000110801	ENSPTRG00000005569
ENSG00000110811	ENSPTRG00000004591
ENSG00000110841	ENSPTRG00000004790
ENSG00000110844	ENSPTRG00000004912
ENSG00000110848	ENSPTRG00000004659
ENSG00000110851	ENSPTRG00000005400
ENSG00000110852	ENSPTRG00000004661
ENSG00000110871	ENSPTRG00000005539
ENSG00000110876	ENSPTRG00000005407
ENSG00000110880	ENSPTRG00000005408
ENSG00000110881	ENSPTRG00000004923
ENSG00000110887	ENSPTRG00000005411
ENSG00000110888	ENSPTRG00000004802
ENSG00000110900	ENSPTRG00000043577
ENSG00000110906	ENSPTRG00000041406
ENSG00000110906	ENSPTRG00000050604
ENSG00000110911	ENSPTRG00000004946
ENSG00000110917	ENSPTRG00000045338
ENSG00000110921	ENSPTRG00000005428
ENSG00000110925	ENSPTRG00000004948
ENSG00000110931	ENSPTRG00000005556
ENSG00000110934	ENSPTRG00000004954
ENSG00000110944	ENSPTRG00000005093
ENSG00000110955	ENSPTRG00000005107
ENSG00000110958	ENSPTRG00000040440
ENSG00000110975	ENSPTRG00000004821
ENSG00000110987	ENSPTRG00000023038
ENSG00000111011	ENSPTRG00000005580
ENSG00000111012	ENSPTRG00000005149
ENSG00000111046	ENSPTRG00000005260
ENSG00000111049	ENSPTRG00000005261
ENSG00000111052	ENSPTRG00000005262
ENSG00000111057	ENSPTRG00000004996
ENSG00000111058	ENSPTRG00000005263
ENSG00000111077	ENSPTRG00000004999
ENSG00000111087	ENSPTRG00000005133
ENSG00000111110	ENSPTRG00000005165
ENSG00000111142	ENSPTRG00000005313
ENSG00000111144	ENSPTRG00000005321
ENSG00000111145	ENSPTRG00000005322
ENSG00000111181	ENSPTRG00000004504
ENSG00000111186	ENSPTRG00000004519
ENSG00000111196	ENSPTRG00000046304
ENSG00000111199	ENSPTRG00000005430
ENSG00000111203	ENSPTRG00000004530
ENSG00000111206	ENSPTRG00000051312
ENSG00000111215	ENSPTRG00000004686
ENSG00000111218	ENSPTRG00000004543
ENSG00000111224	ENSPTRG00000004546
ENSG00000111229	ENSPTRG00000044783
ENSG00000111229	ENSPTRG00000049882
ENSG00000111231	ENSPTRG00000005440
ENSG00000111237	ENSPTRG00000005442
ENSG00000111241	ENSPTRG00000046747
ENSG00000111245	ENSPTRG00000052804
ENSG00000111247	ENSPTRG00000004554
ENSG00000111249	ENSPTRG00000005455
ENSG00000111252	ENSPTRG00000005459
ENSG00000111254	ENSPTRG00000004556
ENSG00000111261	ENSPTRG00000004702
ENSG00000111262	ENSPTRG00000004561
ENSG00000111266	ENSPTRG00000004704
ENSG00000111269	ENSPTRG00000004705
ENSG00000111271	ENSPTRG00000005462
ENSG00000111275	ENSPTRG00000005463
ENSG00000111276	ENSPTRG00000004707
ENSG00000111291	ENSPTRG00000004711
ENSG00000111300	ENSPTRG00000005469
ENSG00000111305	ENSPTRG00000004715
ENSG00000111319	ENSPTRG00000004571
ENSG00000111321	ENSPTRG00000004572
ENSG00000111325	ENSPTRG00000005589
ENSG00000111328	ENSPTRG00000005596
ENSG00000111331	ENSPTRG00000005478
ENSG00000111335	ENSPTRG00000005479
ENSG00000111339	ENSPTRG00000004726
ENSG00000111341	ENSPTRG00000004727
ENSG00000111344	ENSPTRG00000005481
ENSG00000111348	ENSPTRG00000004729
ENSG00000111358	ENSPTRG00000005604
ENSG00000111361	ENSPTRG00000005603
ENSG00000111364	ENSPTRG00000005601
ENSG00000111371	ENSPTRG00000004855
ENSG00000111404	ENSPTRG00000004739
ENSG00000111405	ENSPTRG00000004863
ENSG00000111412	ENSPTRG00000005500
ENSG00000111424	ENSPTRG00000042814
ENSG00000111432	ENSPTRG00000005632
ENSG00000111445	ENSPTRG00000005509
ENSG00000111450	ENSPTRG00000005635
ENSG00000111452	ENSPTRG00000044634
ENSG00000111481	ENSPTRG00000005037
ENSG00000111490	ENSPTRG00000005177
ENSG00000111530	ENSPTRG00000005190
ENSG00000111536	ENSPTRG00000005194
ENSG00000111537	ENSPTRG00000005193
ENSG00000111540	ENSPTRG00000005071
ENSG00000111554	ENSPTRG00000005196
ENSG00000111581	ENSPTRG00000005200
ENSG00000111596	ENSPTRG00000005216
ENSG00000111602	ENSPTRG00000022963
ENSG00000111605	ENSPTRG00000005205
ENSG00000111615	ENSPTRG00000005238
ENSG00000111639	ENSPTRG00000004575
ENSG00000111640	ENSPTRG00000004577
ENSG00000111642	ENSPTRG00000004580
ENSG00000111644	ENSPTRG00000004582
ENSG00000111647	ENSPTRG00000005339
ENSG00000111652	ENSPTRG00000004586
ENSG00000111653	ENSPTRG00000004583
ENSG00000111664	ENSPTRG00000004592
ENSG00000111665	ENSPTRG00000004593
ENSG00000111666	ENSPTRG00000005354
ENSG00000111667	ENSPTRG00000004594
ENSG00000111669	ENSPTRG00000004595
ENSG00000111669	ENSPTRG00000041210
ENSG00000111670	ENSPTRG00000005356
ENSG00000111671	ENSPTRG00000004596
ENSG00000111674	ENSPTRG00000050094
ENSG00000111676	ENSPTRG00000040559
ENSG00000111679	ENSPTRG00000004601
ENSG00000111684	ENSPTRG00000004604
ENSG00000111696	ENSPTRG00000005370
ENSG00000111700	ENSPTRG00000044231
ENSG00000111701	ENSPTRG00000004614
ENSG00000111704	ENSPTRG00000029807
ENSG00000111707	ENSPTRG00000005515
ENSG00000111711	ENSPTRG00000004759
ENSG00000111713	ENSPTRG00000004761
ENSG00000111716	ENSPTRG00000004762
ENSG00000111725	ENSPTRG00000005520
ENSG00000111726	ENSPTRG00000004765
ENSG00000111727	ENSPTRG00000005375
ENSG00000111728	ENSPTRG00000050648
ENSG00000111729	ENSPTRG00000004631
ENSG00000111731	ENSPTRG00000004767
ENSG00000111732	ENSPTRG00000004640
ENSG00000111737	ENSPTRG00000005524
ENSG00000111752	ENSPTRG00000004647
ENSG00000111775	ENSPTRG00000005532
ENSG00000111783	ENSPTRG00000005391
ENSG00000111785	ENSPTRG00000005392
ENSG00000111786	ENSPTRG00000005535
ENSG00000111790	ENSPTRG00000004783
ENSG00000111796	ENSPTRG00000004656
ENSG00000111799	ENSPTRG00000018351
ENSG00000111801	ENSPTRG00000051304
ENSG00000111802	ENSPTRG00000017778
ENSG00000111816	ENSPTRG00000018521
ENSG00000111817	ENSPTRG00000018529
ENSG00000111832	ENSPTRG00000018534
ENSG00000111834	ENSPTRG00000018535
ENSG00000111837	ENSPTRG00000017722
ENSG00000111843	ENSPTRG00000017720
ENSG00000111845	ENSPTRG00000017719
ENSG00000111846	ENSPTRG00000017717
ENSG00000111850	ENSPTRG00000018402
ENSG00000111859	ENSPTRG00000017727
ENSG00000111860	ENSPTRG00000018549
ENSG00000111863	ENSPTRG00000017728
ENSG00000111875	ENSPTRG00000018554
ENSG00000111877	ENSPTRG00000018553
ENSG00000111879	ENSPTRG00000018555
ENSG00000111880	ENSPTRG00000018413
ENSG00000111885	ENSPTRG00000018558
ENSG00000111886	ENSPTRG00000023663
ENSG00000111897	ENSPTRG00000018562
ENSG00000111906	ENSPTRG00000018573
ENSG00000111907	ENSPTRG00000018572
ENSG00000111911	ENSPTRG00000018576
ENSG00000111912	ENSPTRG00000018575
ENSG00000111913	ENSPTRG00000017782
ENSG00000111961	ENSPTRG00000018688
ENSG00000111962	ENSPTRG00000018689
ENSG00000111981	ENSPTRG00000043696
ENSG00000112029	ENSPTRG00000018721
ENSG00000112031	ENSPTRG00000018722
ENSG00000112033	ENSPTRG00000018082
ENSG00000112038	ENSPTRG00000018723
ENSG00000112039	ENSPTRG00000018084
ENSG00000112041	ENSPTRG00000018087
ENSG00000112053	ENSPTRG00000018095
ENSG00000112062	ENSPTRG00000018097
ENSG00000112077	ENSPTRG00000018261
ENSG00000112078	ENSPTRG00000018104
ENSG00000112079	ENSPTRG00000018105
ENSG00000112081	ENSPTRG00000018106
ENSG00000112110	ENSPTRG00000018761
ENSG00000112115	ENSPTRG00000018273
ENSG00000112116	ENSPTRG00000018274
ENSG00000112118	ENSPTRG00000018275
ENSG00000112130	ENSPTRG00000018121
ENSG00000112137	ENSPTRG00000046942
ENSG00000112139	ENSPTRG00000018124
ENSG00000112144	ENSPTRG00000018286
ENSG00000112146	ENSPTRG00000018287
ENSG00000112149	ENSPTRG00000017742
ENSG00000112159	ENSPTRG00000018423
ENSG00000112164	ENSPTRG00000018131
ENSG00000112167	ENSPTRG00000018132
ENSG00000112175	ENSPTRG00000018300
ENSG00000112182	ENSPTRG00000018426
ENSG00000112183	ENSPTRG00000017749
ENSG00000112186	ENSPTRG00000017750
ENSG00000112195	ENSPTRG00000018150
ENSG00000112200	ENSPTRG00000018306
ENSG00000112208	ENSPTRG00000018307
ENSG00000112210	ENSPTRG00000043341
ENSG00000112212	ENSPTRG00000018143
ENSG00000112214	ENSPTRG00000018433
ENSG00000112218	ENSPTRG00000018434
ENSG00000112232	ENSPTRG00000018311
ENSG00000112234	ENSPTRG00000018438
ENSG00000112237	ENSPTRG00000018444
ENSG00000112238	ENSPTRG00000018445
ENSG00000112242	ENSPTRG00000023584
ENSG00000112245	ENSPTRG00000043932
ENSG00000112246	ENSPTRG00000018447
ENSG00000112249	ENSPTRG00000018448
ENSG00000112276	ENSPTRG00000018454
ENSG00000112280	ENSPTRG00000018329
ENSG00000112282	ENSPTRG00000018601
ENSG00000112290	ENSPTRG00000018494
ENSG00000112293	ENSPTRG00000017775
ENSG00000112294	ENSPTRG00000017776
ENSG00000112297	ENSPTRG00000018459
ENSG00000112299	ENSPTRG00000018613
ENSG00000112303	ENSPTRG00000018615
ENSG00000112304	ENSPTRG00000044962
ENSG00000112305	ENSPTRG00000018333
ENSG00000112308	ENSPTRG00000017780
ENSG00000112309	ENSPTRG00000018334
ENSG00000112312	ENSPTRG00000017781
ENSG00000112319	ENSPTRG00000018619
ENSG00000112320	ENSPTRG00000018467
ENSG00000112333	ENSPTRG00000018472
ENSG00000112333	ENSPTRG00000043845
ENSG00000112335	ENSPTRG00000018473
ENSG00000112335	ENSPTRG00000046352
ENSG00000112337	ENSPTRG00000017794
ENSG00000112339	ENSPTRG00000018630
ENSG00000112343	ENSPTRG00000017795
ENSG00000112357	ENSPTRG00000018638
ENSG00000112365	ENSPTRG00000018487
ENSG00000112367	ENSPTRG00000018492
ENSG00000112378	ENSPTRG00000050751
