ENSG00000000003	ENSPPYG00000020538
ENSG00000123453	ENSPPYG00000019743
ENSG00000123454	ENSPPYG00000019742
ENSG00000123472	ENSPPYG00000001391
ENSG00000123473	ENSPPYG00000001381
ENSG00000123485	ENSPPYG00000013296
ENSG00000123496	ENSPPYG00000020645
ENSG00000123500	ENSPPYG00000016944
ENSG00000123505	ENSPPYG00000016924
ENSG00000123545	ENSPPYG00000016857
ENSG00000123552	ENSPPYG00000016864
ENSG00000123560	ENSPPYG00000020590
ENSG00000123561	ENSPPYG00000020601
ENSG00000123562	ENSPPYG00000020587
ENSG00000123562	ENSPPYG00000036025
ENSG00000123569	ENSPPYG00000031362
ENSG00000123569	ENSPPYG00000032883
ENSG00000123570	ENSPPYG00000020591
ENSG00000123572	ENSPPYG00000020600
ENSG00000123575	ENSPPYG00000040978
ENSG00000123576	ENSPPYG00000020596
ENSG00000123584	ENSPPYG00000020908
ENSG00000123594	ENSPPYG00000020129
ENSG00000123595	ENSPPYG00000037977
ENSG00000123600	ENSPPYG00000012927
ENSG00000123607	ENSPPYG00000012897
ENSG00000123609	ENSPPYG00000012844
ENSG00000123610	ENSPPYG00000012845
ENSG00000123612	ENSPPYG00000038725
ENSG00000123636	ENSPPYG00000012872
ENSG00000123643	ENSPPYG00000015965
ENSG00000123684	ENSPPYG00000000240
ENSG00000123685	ENSPPYG00000000234
ENSG00000123689	ENSPPYG00000000257
ENSG00000123700	ENSPPYG00000008581
ENSG00000123728	ENSPPYG00000034792
ENSG00000123737	ENSPPYG00000015037
ENSG00000123739	ENSPPYG00000014994
ENSG00000123810	ENSPPYG00000010014
ENSG00000123836	ENSPPYG00000000272
ENSG00000123838	ENSPPYG00000000270
ENSG00000123843	ENSPPYG00000000271
ENSG00000123892	ENSPPYG00000003752
ENSG00000123901	ENSPPYG00000041687
ENSG00000123908	ENSPPYG00000018908
ENSG00000123933	ENSPPYG00000037498
ENSG00000123975	ENSPPYG00000025843
ENSG00000123977	ENSPPYG00000013245
ENSG00000123983	ENSPPYG00000013223
ENSG00000123989	ENSPPYG00000013211
ENSG00000123992	ENSPPYG00000013207
ENSG00000123999	ENSPPYG00000013214
ENSG00000124006	ENSPPYG00000013213
ENSG00000124019	ENSPPYG00000013230
ENSG00000124067	ENSPPYG00000007478
ENSG00000124074	ENSPPYG00000007465
ENSG00000124089	ENSPPYG00000011146
ENSG00000124091	ENSPPYG00000011152
ENSG00000124092	ENSPPYG00000011163
ENSG00000124097	ENSPPYG00000011668
ENSG00000124098	ENSPPYG00000011147
ENSG00000124102	ENSPPYG00000011049
ENSG00000124104	ENSPPYG00000011073
ENSG00000124107	ENSPPYG00000011051
ENSG00000124116	ENSPPYG00000011069
ENSG00000124120	ENSPPYG00000011034
ENSG00000124126	ENSPPYG00000011107
ENSG00000124134	ENSPPYG00000011046
ENSG00000124140	ENSPPYG00000011086
ENSG00000124143	ENSPPYG00000011002
ENSG00000124145	ENSPPYG00000038657
ENSG00000124151	ENSPPYG00000011103
ENSG00000124155	ENSPPYG00000011057
ENSG00000124157	ENSPPYG00000032101
ENSG00000124159	ENSPPYG00000011052
ENSG00000124160	ENSPPYG00000011087
ENSG00000124164	ENSPPYG00000011172
ENSG00000124171	ENSPPYG00000038640
ENSG00000124172	ENSPPYG00000005241
ENSG00000124177	ENSPPYG00000011016
ENSG00000124181	ENSPPYG00000011011
ENSG00000124191	ENSPPYG00000011025
ENSG00000124193	ENSPPYG00000011019
ENSG00000124194	ENSPPYG00000011028
ENSG00000124198	ENSPPYG00000011109
ENSG00000124201	ENSPPYG00000011114
ENSG00000124203	ENSPPYG00000011183
ENSG00000124205	ENSPPYG00000011184
ENSG00000124207	ENSPPYG00000011110
ENSG00000124209	ENSPPYG00000011171
ENSG00000124212	ENSPPYG00000011117
ENSG00000124214	ENSPPYG00000011111
ENSG00000124215	ENSPPYG00000011189
ENSG00000124216	ENSPPYG00000011122
ENSG00000124217	ENSPPYG00000011132
ENSG00000124222	ENSPPYG00000011175
ENSG00000124225	ENSPPYG00000041071
ENSG00000124226	ENSPPYG00000011121
ENSG00000124227	ENSPPYG00000011169
ENSG00000124228	ENSPPYG00000011113
ENSG00000124232	ENSPPYG00000011053
ENSG00000124233	ENSPPYG00000011050
ENSG00000124237	ENSPPYG00000031029
ENSG00000124243	ENSPPYG00000037475
ENSG00000124251	ENSPPYG00000011056
ENSG00000124253	ENSPPYG00000011164
ENSG00000124256	ENSPPYG00000011165
ENSG00000124257	ENSPPYG00000011078
ENSG00000124275	ENSPPYG00000015338
ENSG00000124279	ENSPPYG00000015337
ENSG00000124299	ENSPPYG00000009829
ENSG00000124302	ENSPPYG00000010593
ENSG00000124313	ENSPPYG00000020373
ENSG00000124333	ENSPPYG00000020906
ENSG00000124334	ENSPPYG00000020907
ENSG00000124334	ENSPPYG00000038598
ENSG00000124356	ENSPPYG00000037955
ENSG00000124357	ENSPPYG00000012312
ENSG00000124370	ENSPPYG00000012311
ENSG00000124374	ENSPPYG00000030536
ENSG00000124380	ENSPPYG00000012332
ENSG00000124383	ENSPPYG00000012310
ENSG00000124391	ENSPPYG00000007640
ENSG00000124406	ENSPPYG00000014699
ENSG00000124422	ENSPPYG00000008068
ENSG00000124429	ENSPPYG00000020519
ENSG00000124440	ENSPPYG00000010147
ENSG00000124444	ENSPPYG00000039902
ENSG00000124449	ENSPPYG00000010073
ENSG00000124459	ENSPPYG00000010079
ENSG00000124466	ENSPPYG00000010058
ENSG00000124467	ENSPPYG00000010053
ENSG00000124469	ENSPPYG00000010023
ENSG00000124479	ENSPPYG00000039194
ENSG00000124486	ENSPPYG00000020256
ENSG00000124490	ENSPPYG00000016690
ENSG00000124491	ENSPPYG00000016200
ENSG00000124493	ENSPPYG00000016512
ENSG00000124496	ENSPPYG00000016614
ENSG00000124507	ENSPPYG00000016517
ENSG00000124508	ENSPPYG00000041336
ENSG00000124523	ENSPPYG00000016242
ENSG00000124532	ENSPPYG00000016278
ENSG00000124535	ENSPPYG00000041417
ENSG00000124541	ENSPPYG00000016628
ENSG00000124557	ENSPPYG00000016333
ENSG00000124564	ENSPPYG00000016295
ENSG00000124568	ENSPPYG00000016294
ENSG00000124570	ENSPPYG00000016174
ENSG00000124571	ENSPPYG00000016646
ENSG00000124574	ENSPPYG00000016640
ENSG00000124575	ENSPPYG00000016319
ENSG00000124587	ENSPPYG00000016624
ENSG00000124588	ENSPPYG00000016176
ENSG00000124596	ENSPPYG00000016587
ENSG00000124602	ENSPPYG00000016584
ENSG00000124608	ENSPPYG00000016659
ENSG00000124610	ENSPPYG00000016298
ENSG00000124613	ENSPPYG00000016344
ENSG00000124615	ENSPPYG00000016580
ENSG00000124635	ENSPPYG00000041274
ENSG00000124641	ENSPPYG00000016606
ENSG00000124657	ENSPPYG00000016360
ENSG00000124659	ENSPPYG00000017265
ENSG00000124664	ENSPPYG00000016518
ENSG00000124678	ENSPPYG00000016523
ENSG00000124688	ENSPPYG00000017281
ENSG00000124701	ENSPPYG00000016586
ENSG00000124702	ENSPPYG00000016627
ENSG00000124713	ENSPPYG00000016623
ENSG00000124721	ENSPPYG00000016570
ENSG00000124731	ENSPPYG00000033253
ENSG00000124733	ENSPPYG00000037885
ENSG00000124743	ENSPPYG00000016724
ENSG00000124749	ENSPPYG00000016734
ENSG00000124762	ENSPPYG00000016549
ENSG00000124766	ENSPPYG00000016272
ENSG00000124767	ENSPPYG00000033994
ENSG00000124772	ENSPPYG00000016553
ENSG00000124780	ENSPPYG00000016575
ENSG00000124782	ENSPPYG00000016204
ENSG00000124783	ENSPPYG00000016205
ENSG00000124784	ENSPPYG00000016207
ENSG00000124785	ENSPPYG00000016199
ENSG00000124786	ENSPPYG00000016216
ENSG00000124787	ENSPPYG00000016194
ENSG00000124788	ENSPPYG00000016254
ENSG00000124789	ENSPPYG00000016259
ENSG00000124795	ENSPPYG00000016265
ENSG00000124802	ENSPPYG00000016215
ENSG00000124812	ENSPPYG00000016693
ENSG00000124813	ENSPPYG00000016664
ENSG00000124818	ENSPPYG00000016680
ENSG00000124827	ENSPPYG00000016228
ENSG00000124839	ENSPPYG00000013312
ENSG00000124875	ENSPPYG00000031846
ENSG00000124882	ENSPPYG00000014837
ENSG00000124920	ENSPPYG00000003180
ENSG00000124935	ENSPPYG00000003169
ENSG00000124939	ENSPPYG00000003170
ENSG00000124942	ENSPPYG00000035391
ENSG00000125037	ENSPPYG00000030149
ENSG00000125046	ENSPPYG00000034055
ENSG00000125084	ENSPPYG00000004475
ENSG00000125089	ENSPPYG00000014566
ENSG00000125107	ENSPPYG00000007410
ENSG00000125124	ENSPPYG00000007368
ENSG00000125148	ENSPPYG00000038311
ENSG00000125149	ENSPPYG00000007438
ENSG00000125166	ENSPPYG00000007413
ENSG00000125170	ENSPPYG00000007391
ENSG00000125207	ENSPPYG00000005121
ENSG00000125245	ENSPPYG00000005466
ENSG00000125246	ENSPPYG00000005469
ENSG00000125247	ENSPPYG00000005475
ENSG00000125249	ENSPPYG00000031802
ENSG00000125255	ENSPPYG00000005487
ENSG00000125257	ENSPPYG00000005448
ENSG00000125266	ENSPPYG00000005489
ENSG00000125285	ENSPPYG00000005446
ENSG00000125304	ENSPPYG00000005468
ENSG00000125319	ENSPPYG00000008341
ENSG00000125337	ENSPPYG00000017179
ENSG00000125347	ENSPPYG00000034834
ENSG00000125351	ENSPPYG00000020675
ENSG00000125352	ENSPPYG00000020676
ENSG00000125354	ENSPPYG00000020673
ENSG00000125355	ENSPPYG00000020683
ENSG00000125356	ENSPPYG00000020677
ENSG00000125363	ENSPPYG00000020122
ENSG00000125375	ENSPPYG00000033217
ENSG00000125378	ENSPPYG00000005826
ENSG00000125384	ENSPPYG00000005817
ENSG00000125386	ENSPPYG00000014544
ENSG00000125388	ENSPPYG00000014550
ENSG00000125398	ENSPPYG00000008583
ENSG00000125409	ENSPPYG00000008003
ENSG00000125414	ENSPPYG00000040935
ENSG00000125430	ENSPPYG00000037587
ENSG00000125434	ENSPPYG00000007957
ENSG00000125445	ENSPPYG00000008623
ENSG00000125447	ENSPPYG00000008622
ENSG00000125450	ENSPPYG00000008621
ENSG00000125454	ENSPPYG00000008625
ENSG00000125457	ENSPPYG00000008624
ENSG00000125458	ENSPPYG00000008619
ENSG00000125459	ENSPPYG00000000740
ENSG00000125482	ENSPPYG00000019709
ENSG00000125484	ENSPPYG00000019714
ENSG00000125485	ENSPPYG00000019713
ENSG00000125492	ENSPPYG00000039031
ENSG00000125498	ENSPPYG00000010391
ENSG00000125498	ENSPPYG00000041696
ENSG00000125503	ENSPPYG00000010400
ENSG00000125505	ENSPPYG00000010375
ENSG00000125508	ENSPPYG00000011239
ENSG00000125510	ENSPPYG00000011261
ENSG00000125520	ENSPPYG00000036922
ENSG00000125522	ENSPPYG00000011262
ENSG00000125531	ENSPPYG00000011240
ENSG00000125533	ENSPPYG00000033782
ENSG00000125534	ENSPPYG00000011237
ENSG00000125538	ENSPPYG00000012174
ENSG00000125571	ENSPPYG00000012175
ENSG00000125611	ENSPPYG00000012169
ENSG00000125618	ENSPPYG00000030017
ENSG00000125629	ENSPPYG00000037275
ENSG00000125630	ENSPPYG00000012168
ENSG00000125633	ENSPPYG00000012795
ENSG00000125637	ENSPPYG00000012182
ENSG00000125648	ENSPPYG00000009456
ENSG00000125650	ENSPPYG00000009451
ENSG00000125652	ENSPPYG00000033281
ENSG00000125656	ENSPPYG00000009449
ENSG00000125657	ENSPPYG00000009459
ENSG00000125675	ENSPPYG00000020694
ENSG00000125676	ENSPPYG00000020695
ENSG00000125686	ENSPPYG00000008488
ENSG00000125691	ENSPPYG00000035201
ENSG00000125691	ENSPPYG00000036574
ENSG00000125703	ENSPPYG00000001279
ENSG00000125726	ENSPPYG00000009460
ENSG00000125730	ENSPPYG00000009461
ENSG00000125731	ENSPPYG00000009464
ENSG00000125733	ENSPPYG00000009463
ENSG00000125734	ENSPPYG00000009462
ENSG00000125735	ENSPPYG00000031179
ENSG00000125740	ENSPPYG00000010121
ENSG00000125741	ENSPPYG00000032022
ENSG00000125744	ENSPPYG00000010122
ENSG00000125746	ENSPPYG00000010127
ENSG00000125753	ENSPPYG00000010124
ENSG00000125755	ENSPPYG00000010135
ENSG00000125772	ENSPPYG00000010687
ENSG00000125775	ENSPPYG00000010854
ENSG00000125779	ENSPPYG00000010806
ENSG00000125780	ENSPPYG00000010843
ENSG00000125787	ENSPPYG00000010830
ENSG00000125788	ENSPPYG00000010877
ENSG00000125798	ENSPPYG00000040463
ENSG00000125810	ENSPPYG00000010763
ENSG00000125812	ENSPPYG00000010766
ENSG00000125813	ENSPPYG00000010758
ENSG00000125814	ENSPPYG00000010767
ENSG00000125815	ENSPPYG00000010770
ENSG00000125816	ENSPPYG00000010756
ENSG00000125818	ENSPPYG00000010859
ENSG00000125820	ENSPPYG00000010757
ENSG00000125821	ENSPPYG00000010740
ENSG00000125823	ENSPPYG00000010768
ENSG00000125826	ENSPPYG00000010868
ENSG00000125827	ENSPPYG00000010699
ENSG00000125831	ENSPPYG00000010769
ENSG00000125834	ENSPPYG00000010844
ENSG00000125835	ENSPPYG00000010841
ENSG00000125841	ENSPPYG00000030783
ENSG00000125843	ENSPPYG00000010810
ENSG00000125844	ENSPPYG00000010728
ENSG00000125845	ENSPPYG00000010697
ENSG00000125846	ENSPPYG00000010734
ENSG00000125848	ENSPPYG00000010719
ENSG00000125850	ENSPPYG00000010732
ENSG00000125851	ENSPPYG00000010725
ENSG00000125861	ENSPPYG00000010817
ENSG00000125863	ENSPPYG00000010706
ENSG00000125864	ENSPPYG00000010726
ENSG00000125868	ENSPPYG00000010727
ENSG00000125869	ENSPPYG00000010702
ENSG00000125870	ENSPPYG00000010723
ENSG00000125871	ENSPPYG00000010731
ENSG00000125872	ENSPPYG00000010694
ENSG00000125875	ENSPPYG00000010867
ENSG00000125877	ENSPPYG00000010822
ENSG00000125878	ENSPPYG00000035169
ENSG00000125879	ENSPPYG00000011277
ENSG00000125885	ENSPPYG00000010692
ENSG00000125888	ENSPPYG00000039660
ENSG00000125895	ENSPPYG00000010858
ENSG00000125898	ENSPPYG00000010862
ENSG00000125900	ENSPPYG00000010849
ENSG00000125901	ENSPPYG00000010829
ENSG00000125903	ENSPPYG00000010874
ENSG00000125910	ENSPPYG00000009368
ENSG00000125912	ENSPPYG00000009369
ENSG00000125931	ENSPPYG00000032934
ENSG00000125944	ENSPPYG00000001744
ENSG00000125945	ENSPPYG00000001743
ENSG00000125952	ENSPPYG00000005911
ENSG00000125962	ENSPPYG00000020568
ENSG00000125965	ENSPPYG00000010952
ENSG00000125966	ENSPPYG00000010948
ENSG00000125967	ENSPPYG00000010926
ENSG00000125968	ENSPPYG00000010889
ENSG00000125970	ENSPPYG00000010932
ENSG00000125971	ENSPPYG00000010937
ENSG00000125975	ENSPPYG00000010955
ENSG00000125977	ENSPPYG00000010933
ENSG00000125991	ENSPPYG00000010956
ENSG00000125995	ENSPPYG00000010962
ENSG00000125998	ENSPPYG00000010950
ENSG00000125999	ENSPPYG00000010919
ENSG00000126001	ENSPPYG00000010954
ENSG00000126003	ENSPPYG00000036634
ENSG00000126010	ENSPPYG00000020152
ENSG00000126012	ENSPPYG00000020372
ENSG00000126016	ENSPPYG00000020642
ENSG00000126062	ENSPPYG00000013840
ENSG00000126067	ENSPPYG00000001555
ENSG00000126070	ENSPPYG00000001550
ENSG00000126088	ENSPPYG00000001419
ENSG00000126091	ENSPPYG00000001440
ENSG00000126106	ENSPPYG00000001429
ENSG00000126107	ENSPPYG00000001420
ENSG00000126214	ENSPPYG00000006175
ENSG00000126215	ENSPPYG00000006177
ENSG00000126216	ENSPPYG00000005514
ENSG00000126217	ENSPPYG00000005517
ENSG00000126218	ENSPPYG00000005520
ENSG00000126226	ENSPPYG00000005522
ENSG00000126231	ENSPPYG00000005521
ENSG00000126233	ENSPPYG00000019027
ENSG00000126243	ENSPPYG00000009890
ENSG00000126246	ENSPPYG00000009878
ENSG00000126247	ENSPPYG00000009898
ENSG00000126249	ENSPPYG00000009836
ENSG00000126251	ENSPPYG00000031088
ENSG00000126251	ENSPPYG00000031215
ENSG00000126254	ENSPPYG00000009871
ENSG00000126259	ENSPPYG00000009885
ENSG00000126261	ENSPPYG00000009837
ENSG00000126262	ENSPPYG00000009863
ENSG00000126264	ENSPPYG00000009888
ENSG00000126266	ENSPPYG00000009859
ENSG00000126337	ENSPPYG00000008418
ENSG00000126351	ENSPPYG00000039692
ENSG00000126353	ENSPPYG00000008457
ENSG00000126368	ENSPPYG00000008469
ENSG00000126391	ENSPPYG00000031154
ENSG00000126432	ENSPPYG00000003106
ENSG00000126453	ENSPPYG00000029416
ENSG00000126456	ENSPPYG00000010260
ENSG00000126457	ENSPPYG00000010261
ENSG00000126458	ENSPPYG00000010258
ENSG00000126460	ENSPPYG00000010256
ENSG00000126461	ENSPPYG00000010259
ENSG00000126464	ENSPPYG00000010257
ENSG00000126467	ENSPPYG00000010538
ENSG00000126500	ENSPPYG00000003120
ENSG00000126522	ENSPPYG00000017526
ENSG00000126524	ENSPPYG00000017513
ENSG00000126545	ENSPPYG00000014792
ENSG00000126549	ENSPPYG00000014794
ENSG00000126550	ENSPPYG00000014796
ENSG00000126561	ENSPPYG00000008393
ENSG00000126562	ENSPPYG00000008376
ENSG00000126581	ENSPPYG00000008373
ENSG00000126583	ENSPPYG00000010365
ENSG00000126602	ENSPPYG00000007050
ENSG00000126603	ENSPPYG00000007055
ENSG00000126653	ENSPPYG00000008130
ENSG00000126698	ENSPPYG00000025833
ENSG00000126709	ENSPPYG00000001658
ENSG00000126733	ENSPPYG00000020521
ENSG00000126746	ENSPPYG00000004196
ENSG00000126749	ENSPPYG00000004215
ENSG00000126752	ENSPPYG00000038500
ENSG00000126756	ENSPPYG00000020300
ENSG00000126759	ENSPPYG00000020298
ENSG00000126767	ENSPPYG00000020299
ENSG00000126768	ENSPPYG00000020323
ENSG00000126773	ENSPPYG00000005869
ENSG00000126775	ENSPPYG00000005839
ENSG00000126777	ENSPPYG00000005842
ENSG00000126778	ENSPPYG00000005874
ENSG00000126785	ENSPPYG00000005887
ENSG00000126787	ENSPPYG00000005838
ENSG00000126790	ENSPPYG00000005864
ENSG00000126803	ENSPPYG00000005902
ENSG00000126804	ENSPPYG00000005901
ENSG00000126814	ENSPPYG00000005877
ENSG00000126821	ENSPPYG00000005893
ENSG00000126822	ENSPPYG00000005904
ENSG00000126838	ENSPPYG00000004251
ENSG00000126856	ENSPPYG00000007684
ENSG00000126858	ENSPPYG00000008157
ENSG00000126860	ENSPPYG00000008150
ENSG00000126861	ENSPPYG00000008148
ENSG00000126870	ENSPPYG00000018235
ENSG00000126878	ENSPPYG00000019698
ENSG00000126882	ENSPPYG00000019700
ENSG00000126883	ENSPPYG00000019699
ENSG00000126890	ENSPPYG00000020890
ENSG00000126895	ENSPPYG00000020859
ENSG00000126903	ENSPPYG00000020883
ENSG00000126934	ENSPPYG00000033737
ENSG00000126945	ENSPPYG00000020553
ENSG00000126947	ENSPPYG00000020556
ENSG00000126950	ENSPPYG00000036418
ENSG00000126953	ENSPPYG00000030483
ENSG00000126970	ENSPPYG00000020415
ENSG00000127022	ENSPPYG00000016126
ENSG00000127054	ENSPPYG00000002013
ENSG00000127074	ENSPPYG00000000400
ENSG00000127080	ENSPPYG00000019381
ENSG00000127081	ENSPPYG00000019350
ENSG00000127083	ENSPPYG00000019378
ENSG00000127084	ENSPPYG00000019384
ENSG00000127124	ENSPPYG00000001475
ENSG00000127125	ENSPPYG00000001469
ENSG00000127129	ENSPPYG00000001476
ENSG00000127152	ENSPPYG00000039840
ENSG00000127184	ENSPPYG00000037999
ENSG00000127191	ENSPPYG00000019790
ENSG00000127220	ENSPPYG00000009707
ENSG00000127241	ENSPPYG00000014391
ENSG00000127249	ENSPPYG00000014416
ENSG00000127252	ENSPPYG00000014414
ENSG00000127311	ENSPPYG00000004742
ENSG00000127314	ENSPPYG00000004751
ENSG00000127318	ENSPPYG00000004749
ENSG00000127324	ENSPPYG00000004771
ENSG00000127325	ENSPPYG00000004762
ENSG00000127328	ENSPPYG00000004763
ENSG00000127329	ENSPPYG00000004768
ENSG00000127334	ENSPPYG00000004745
ENSG00000127337	ENSPPYG00000004758
ENSG00000127362	ENSPPYG00000018069
ENSG00000127364	ENSPPYG00000035803
ENSG00000127366	ENSPPYG00000018267
ENSG00000127377	ENSPPYG00000018195
ENSG00000127399	ENSPPYG00000018165
ENSG00000127412	ENSPPYG00000036459
ENSG00000127415	ENSPPYG00000014514
ENSG00000127418	ENSPPYG00000040964
ENSG00000127419	ENSPPYG00000014512
ENSG00000127423	ENSPPYG00000001703
ENSG00000127445	ENSPPYG00000009537
ENSG00000127452	ENSPPYG00000009535
ENSG00000127463	ENSPPYG00000001796
ENSG00000127472	ENSPPYG00000001779
ENSG00000127481	ENSPPYG00000001797
ENSG00000127483	ENSPPYG00000001765
ENSG00000127507	ENSPPYG00000009654
ENSG00000127511	ENSPPYG00000009697
ENSG00000127515	ENSPPYG00000009656
ENSG00000127526	ENSPPYG00000009692
ENSG00000127527	ENSPPYG00000009688
ENSG00000127528	ENSPPYG00000009687
ENSG00000127533	ENSPPYG00000009698
ENSG00000127554	ENSPPYG00000006980
ENSG00000127564	ENSPPYG00000007022
ENSG00000127578	ENSPPYG00000006915
ENSG00000127580	ENSPPYG00000006923
ENSG00000127585	ENSPPYG00000006925
ENSG00000127586	ENSPPYG00000006934
ENSG00000127586	ENSPPYG00000036595
ENSG00000127588	ENSPPYG00000034165
ENSG00000127603	ENSPPYG00000001509
ENSG00000127616	ENSPPYG00000009568
ENSG00000127663	ENSPPYG00000009423
ENSG00000127666	ENSPPYG00000009418
ENSG00000127720	ENSPPYG00000004805
ENSG00000127743	ENSPPYG00000015935
ENSG00000127774	ENSPPYG00000007819
ENSG00000127780	ENSPPYG00000041454
ENSG00000127804	ENSPPYG00000007795
ENSG00000127824	ENSPPYG00000013203
ENSG00000127831	ENSPPYG00000013174
ENSG00000127837	ENSPPYG00000013166
ENSG00000127838	ENSPPYG00000013167
ENSG00000127863	ENSPPYG00000005206
ENSG00000127870	ENSPPYG00000005228
ENSG00000127884	ENSPPYG00000002792
ENSG00000127903	ENSPPYG00000010454
ENSG00000127914	ENSPPYG00000017825
ENSG00000127920	ENSPPYG00000017810
ENSG00000127928	ENSPPYG00000017811
ENSG00000127946	ENSPPYG00000029731
ENSG00000127947	ENSPPYG00000017871
ENSG00000127948	ENSPPYG00000017474
ENSG00000127951	ENSPPYG00000030193
ENSG00000127952	ENSPPYG00000017472
ENSG00000127954	ENSPPYG00000017837
ENSG00000127955	ENSPPYG00000017864
ENSG00000127980	ENSPPYG00000017820
ENSG00000127989	ENSPPYG00000017826
ENSG00000127990	ENSPPYG00000017807
ENSG00000127993	ENSPPYG00000017819
ENSG00000127995	ENSPPYG00000017808
ENSG00000128000	ENSPPYG00000035581
ENSG00000128011	ENSPPYG00000009961
ENSG00000128016	ENSPPYG00000010577
ENSG00000128039	ENSPPYG00000014764
ENSG00000128040	ENSPPYG00000031462
ENSG00000128045	ENSPPYG00000037548
ENSG00000128050	ENSPPYG00000014753
ENSG00000128052	ENSPPYG00000014765
ENSG00000128059	ENSPPYG00000029568
ENSG00000128165	ENSPPYG00000040451
ENSG00000128191	ENSPPYG00000011591
ENSG00000128203	ENSPPYG00000011662
ENSG00000128218	ENSPPYG00000011628
ENSG00000128228	ENSPPYG00000011605
ENSG00000128242	ENSPPYG00000011715
ENSG00000128245	ENSPPYG00000011743
ENSG00000128253	ENSPPYG00000038393
ENSG00000128266	ENSPPYG00000037914
ENSG00000128268	ENSPPYG00000038838
ENSG00000128271	ENSPPYG00000011645
ENSG00000128272	ENSPPYG00000040865
ENSG00000128274	ENSPPYG00000011901
ENSG00000128276	ENSPPYG00000036243
ENSG00000128276	ENSPPYG00000036647
ENSG00000128276	ENSPPYG00000039152
ENSG00000128276	ENSPPYG00000041426
ENSG00000128283	ENSPPYG00000011795
ENSG00000128284	ENSPPYG00000011767
ENSG00000128285	ENSPPYG00000031606
ENSG00000128294	ENSPPYG00000011667
ENSG00000128298	ENSPPYG00000011814
ENSG00000128309	ENSPPYG00000011784
ENSG00000128310	ENSPPYG00000011804
ENSG00000128311	ENSPPYG00000011783
ENSG00000128340	ENSPPYG00000011791
ENSG00000128342	ENSPPYG00000011702
ENSG00000128346	ENSPPYG00000011808
ENSG00000128383	ENSPPYG00000011831
ENSG00000128394	ENSPPYG00000040673
ENSG00000128408	ENSPPYG00000011934
ENSG00000128422	ENSPPYG00000008137
ENSG00000128422	ENSPPYG00000029883
ENSG00000128422	ENSPPYG00000035523
ENSG00000128422	ENSPPYG00000040347
ENSG00000128463	ENSPPYG00000006310
ENSG00000128482	ENSPPYG00000008065
ENSG00000128487	ENSPPYG00000008846
ENSG00000128510	ENSPPYG00000033802
ENSG00000128512	ENSPPYG00000017916
ENSG00000128513	ENSPPYG00000017964
ENSG00000128519	ENSPPYG00000017953
ENSG00000128524	ENSPPYG00000017986
ENSG00000128534	ENSPPYG00000033700
ENSG00000128536	ENSPPYG00000018293
ENSG00000128563	ENSPPYG00000017454
ENSG00000128564	ENSPPYG00000017440
ENSG00000128567	ENSPPYG00000018011
ENSG00000128573	ENSPPYG00000017926
ENSG00000128578	ENSPPYG00000017995
ENSG00000128581	ENSPPYG00000040987
ENSG00000128585	ENSPPYG00000018010
ENSG00000128590	ENSPPYG00000017912
ENSG00000128590	ENSPPYG00000035953
ENSG00000128591	ENSPPYG00000017985
ENSG00000128594	ENSPPYG00000017973
ENSG00000128595	ENSPPYG00000017868
ENSG00000128595	ENSPPYG00000017982
ENSG00000128596	ENSPPYG00000017984
ENSG00000128602	ENSPPYG00000017993
ENSG00000128604	ENSPPYG00000017989
ENSG00000128606	ENSPPYG00000017877
ENSG00000128607	ENSPPYG00000017999
ENSG00000128609	ENSPPYG00000017956
ENSG00000128609	ENSPPYG00000032326
ENSG00000128610	ENSPPYG00000017951
ENSG00000128617	ENSPPYG00000017983
ENSG00000128626	ENSPPYG00000031050
ENSG00000128641	ENSPPYG00000013029
ENSG00000128645	ENSPPYG00000012964
ENSG00000128652	ENSPPYG00000012963
ENSG00000128654	ENSPPYG00000012966
ENSG00000128655	ENSPPYG00000012972
ENSG00000128656	ENSPPYG00000012950
ENSG00000128683	ENSPPYG00000013372
ENSG00000128694	ENSPPYG00000013016
ENSG00000128699	ENSPPYG00000013017
ENSG00000128708	ENSPPYG00000012932
ENSG00000128709	ENSPPYG00000012959
ENSG00000128710	ENSPPYG00000012958
ENSG00000128713	ENSPPYG00000031598
ENSG00000128714	ENSPPYG00000012956
ENSG00000128731	ENSPPYG00000006279
ENSG00000128739	ENSPPYG00000006269
ENSG00000128789	ENSPPYG00000008984
ENSG00000128791	ENSPPYG00000009011
ENSG00000128805	ENSPPYG00000002247
ENSG00000128815	ENSPPYG00000002249
ENSG00000128829	ENSPPYG00000006341
ENSG00000128833	ENSPPYG00000006485
ENSG00000128849	ENSPPYG00000006506
ENSG00000128872	ENSPPYG00000006479
ENSG00000128881	ENSPPYG00000006404
ENSG00000128886	ENSPPYG00000006422
ENSG00000128891	ENSPPYG00000006354
ENSG00000128908	ENSPPYG00000006368
ENSG00000128915	ENSPPYG00000006527
ENSG00000128917	ENSPPYG00000029409
ENSG00000128918	ENSPPYG00000006508
ENSG00000128923	ENSPPYG00000006514
ENSG00000128928	ENSPPYG00000006351
ENSG00000128944	ENSPPYG00000006350
ENSG00000128951	ENSPPYG00000006454
ENSG00000128965	ENSPPYG00000006367
ENSG00000128973	ENSPPYG00000006591
ENSG00000129003	ENSPPYG00000006529
ENSG00000129007	ENSPPYG00000006590
ENSG00000129009	ENSPPYG00000006634
